01/01/2025;13.2
02/01/2025;38.6
03/01/2025;25.8
04/01/2025;23.7
05/01/2025;18.6
06/01/2025;35.2
07/01/2025;31.0
08/01/2025;20.3
09/01/2025;16.0
10/01/2025;21.1
11/01/2025;39.5
12/01/2025;24.8
13/01/2025;33.6
14/01/2025;34.6
15/01/2025;36.9
16/01/2025;27.5
17/01/2025;15.3
18/01/2025;32.8
19/01/2025;14.4
20/01/2025;19.4
21/01/2025;38.4
22/01/2025;37.5
23/01/2025;34.3
24/01/2025;29.7
25/01/2025;36.3
26/01/2025;35.8
27/01/2025;22.2
28/01/2025;11.9
29/01/2025;18.9
30/01/2025;39.0
31/01/2025;33.2
01/02/2025;28.8
02/02/2025;26.9
03/02/2025;30.6
04/02/2025;37.8
05/02/2025;14.8
06/02/2025;35.6
07/02/2025;20.8
08/02/2025;31.8
09/02/2025;22.8
10/02/2025;39.9
11/02/2025;25.4
12/02/2025;38.9
13/02/2025;33.4
14/02/2025;16.9
15/02/2025;27.8
16/02/2025;35.4
17/02/2025;31.3
18/02/2025;15.8
19/02/2025;30.3
20/02/2025;36.6
21/02/2025;26.3
22/02/2025;22.5
23/02/2025;19.8
24/02/2025;29.8
25/02/2025;39.7
26/02/2025;23.4
27/02/2025;38.1
28/02/2025;28.3
01/03/2025;21.8
02/03/2025;37.0
03/03/2025;32.4
04/03/2025;27.3
05/03/2025;24.3
06/03/2025;34.8
07/03/2025;31.5
08/03/2025;29.3
09/03/2025;17.8
10/03/2025;20.5
11/03/2025;25.9
12/03/2025;39.4
13/03/2025;36.1
14/03/2025;32.9
15/03/2025;26.7
16/03/2025;38.7
17/03/2025;23.9
18/03/2025;34.0
19/03/2025;28.5
20/03/2025;30.8
21/03/2025;37.2
22/03/2025;19.1
23/03/2025;35.9
24/03/2025;21.3
25/03/2025;33.8
26/03/2025;24.6
27/03/2025;31.6
28/03/2025;39.8
29/03/2025;27.0
30/03/2025;36.5
31/03/2025;22.9
01/04/2025;38.2
02/04/2025;29.5
03/04/2025;32.1
04/04/2025;26.0
05/04/2025;34.9
06/04/2025;30.0
07/04/2025;37.7
08/04/2025;25.0
09/04/2025;39.2
10/04/2025;23.2
11/04/2025;35.1
12/04/2025;28.0
13/04/2025;33.0
14/04/2025;21.6
15/04/2025;38.0
16/04/2025;27.2
17/04/2025;36.0
18/04/2025;24.0
19/04/2025;31.2
20/04/2025;39.6
21/04/2025;22.0
22/04/2025;37.4
23/04/2025;29.0
24/04/2025;32.6
25/04/2025;25.2
26/04/2025;39.2
27/04/2025;23.2
28/04/2025;35.1
29/04/2025;28.0
30/04/2025;33.0
